subject_id,object_id
8495,115435123
8495,2647467
8495,187634
8500,13219666
8502,35145263
8502,106589819
8513,1172284
8513,386724
8513,494756
8513,59138870
8514,5309708
8514,107425
8514,37813
8514,52105
8514,271669
8524,105755419
8609,690194
8658,474161
8789,2695280
8789,365674
8795,15836568
8811,37045
8928,618123
8928,9262
9053,182940
9053,746549
9081,104127086
9102,11924610
9109,11924610
9121,3366856
9121,43460564
9122,11924610
9128,11386
9128,2646911
9134,49447
9134,36192
9135,676202
9137,11924610
9143,629206
9147,55808
9147,865137
9147,1420208
9149,49447
9158,120266668
9158,1668024
9158,133492
9158,1076968
9158,2554719
9168,56356571
9174,136485030
9174,49447
9174,5390013
9208,11924610
9209,11924610
9227,11924610
9229,11924610
9233,11924610
9259,210272
9259,386426
9260,49478393
9262,6999
9266,746549
9268,47280
9268,19842652
9332,2083958
9350,3527307
9350,2270606
9350,219067
9377,24060765
9377,112826975
9377,956898
9394,57814795
9394,25900
9404,112826975
9404,188193
9406,239872
9406,6949149
9410,1133563
9410,2239243
9415,282250
9415,3968640
9418,3919817
9418,1587903
9418,843601
9420,781413
9430,116126228
9430,35145263
9430,15324
9430,116126039
9444,93734705
9453,190539
9465,5891
9471,2166096
9492,21170479
9492,126818
9492,246672
9530,1146120
9585,432
9604,112826975
9604,13147
9604,16783212
9604,66591855
9609,112826975
9609,988343
9609,66592151
9614,66561296
9614,112826975
9614,3355930
9620,66506231
9620,112826975
9620,203850
9621,112826975
9621,66563232
9644,109321311
9644,112826975
9644,66561296
9655,112826975
9655,66392784
9662,30059018
9687,238053
9687,11822042
9687,123349687
9690,1441305
9690,99860490
9698,214609
9698,11996855
9706,2162595
9706,91159242
9730,1583807
9739,3841820
9739,19776628
9747,98912
9747,19776628
9765,3841820
9765,19776628
9773,19776628
9773,3841820
9779,4563817
9779,16889133
9779,8192
9788,28786318
9788,2545446
9798,185626
9798,55738874
9798,181247
9826,27096213
9826,159334
9842,2385804
9842,3914
9887,19793459
9893,19776628
9893,9398093
9896,134999560
9907,9398093
9907,19776628
9922,3841820
9922,19776628
9927,19776628
9927,3841820
9933,3841820
9933,19776628
9937,3841820
9937,19776628
9941,19776628
9941,9398093
9946,19776632
9946,3841820
9946,19776628
9950,3841820
9950,19776628
9956,19776628
9956,3841820
9964,3841820
9964,19776628
9968,3841820
9968,19776628
9973,3841820
9973,9398093
9973,19776628
10029,3841820
10029,19793459
10145,60982002
10145,14505344
10210,282
10223,68218896
10227,3539556
10251,11432
10251,35758
10294,1920219
10294,3505845
10398,2920963
10398,41415
10426,13030962
10426,136134995
10426,1427887
10737,17089549
10737,1881552
10737,4072473
10737,844482
10742,3183364
10742,20719690
10742,788176
10742,1048835
10742,10864048
10742,12892398
10791,1190554
10801,168552
10801,10816
10807,10816
10807,46847
10811,19159
10816,115921406
10816,11422
10832,22572376
10832,10816
10832,168658
10850,12366542
10872,39833
10876,39833
10884,757163
10884,1649770
10915,150866
10931,1510761
10931,1673271
10931,180684
10940,100505188
10943,26844116
10943,185217
10962,5378
10980,43767805
10980,2755547
10980,212434
10987,211439
10987,19388114
10987,6584340
10987,5159627
10987,7493597
10990,2095
10990,3955017
10990,13119823
10990,25403900
10990,629103
11002,11358
11004,46019061
11004,25403900
11004,107122728
11004,1086824
11009,160034
11012,107307291
11012,11019
11016,34104
11019,1183543
11019,35825432
11023,28797
11024,6031064
11028,7048977
11030,1914636
11032,17172633
11032,28877
11032,1002697
11032,43229
11032,119648442
11032,117208269
11033,340169
11033,121182
11034,3514338
11035,2425052
11035,212920
11035,2424752
11035,1780509
11035,581105
11042,2515887
11053,123619
11053,424689
11053,85210139
11053,422649
11068,188193
11068,112826975
11081,12136
11081,2397106
11081,438962
11101,9404
11101,112826975
11106,10990
11106,191768
11106,81621610
11135,658349
11135,4418000
11158,11173
11164,260568
11164,131419
11169,10617810
11169,2001982
11173,578779
11176,5961257
11176,2537
11180,11190
11182,2695280
11182,370502
11186,3702971
11186,11135
11189,1371279
11189,1640628
11190,843601
11197,864333
11197,164307
11197,629085
11204,2324993
11204,1752346
11204,895526
11206,207892
11210,184876
11214,1166625
11214,3435924
11214,11345
11241,31963
11241,178659
11254,25403900
11254,6509670
11254,42527
11276,168845
11281,115460164
11281,1344569
11282,202265
11287,7397
11287,4071928
11287,78908682
11288,1371279
11292,184358
11292,2904042
11292,125744539
11303,18142
11315,18760388
11315,43229
11315,39659371
11344,79529
11345,976981
11348,1756942
11348,130901
11352,118870638
11352,123410745
11358,64698788
11358,415812
11364,50430050
11364,420168
11364,12140
11364,125790843
11364,66560214
11367,174211
11368,9135
11368,14656
11369,2393187
11371,2169973
11371,2401749
11375,1301371
11376,107715
11376,30337763
11376,2672914
11379,181175
11379,3386703
11384,1301371
11386,37172
11386,12969754
11387,168845
11391,12969754
11395,1063
11397,81745
11397,41217
11398,7211
11398,24249534
11399,373342
11402,30337763
11402,107715
11402,2672914
11404,34379
11404,19588483
11405,173453
11405,181247
11408,185674
11410,17538258
11416,1150958
11416,184872
11417,82821
11417,735
11419,212434
11419,11417
11420,7128792
11420,11417
11420,212434
11420,752021
11421,223557
11421,214609
11422,2424752
11422,21550927
11422,1485500
11422,17538258
11424,2431196
